ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
1,,fefegrassfields,animal,nə̀ə,nə̀ə,n ə̀ ə,,jeanmariehombertlaboratoiredynamiquedulangagelyonandlarryhymanuniversityofcaliforniaatberkeley,1,
2,,fefegrassfields,arm,pō,pō,p ō,,jeanmariehombertlaboratoiredynamiquedulangagelyonandlarryhymanuniversityofcaliforniaatberkeley,1,
3,,fefegrassfields,ashes,vhʉ̄,vhʉ̄,vh ʉ̄,,jeanmariehombertlaboratoiredynamiquedulangagelyonandlarryhymanuniversityofcaliforniaatberkeley,1,
4,,fefegrassfields,bark,kɔ̀p,kɔ̀p,k ɔ̀ p,,jeanmariehombertlaboratoiredynamiquedulangagelyonandlarryhymanuniversityofcaliforniaatberkeley,1,
5,,fefegrassfields,bed,kwɛ̄n,kwɛ̄n,kw ɛ̄ n,,jeanmariehombertlaboratoiredynamiquedulangagelyonandlarryhymanuniversityofcaliforniaatberkeley,1,
6,,fefegrassfields,belly,vàm,vàm,v à m,,jeanmariehombertlaboratoiredynamiquedulangagelyonandlarryhymanuniversityofcaliforniaatberkeley,1,
7,,fefegrassfields,bird,sāk,sāk,s ā k,,jeanmariehombertlaboratoiredynamiquedulangagelyonandlarryhymanuniversityofcaliforniaatberkeley,1,
8,,fefegrassfields,bite,lōm,lōm,l ō m,,jeanmariehombertlaboratoiredynamiquedulangagelyonandlarryhymanuniversityofcaliforniaatberkeley,1,
9,,fefegrassfields,blood,nsì˚,nsì˚,ns ì ˚,,jeanmariehombertlaboratoiredynamiquedulangagelyonandlarryhymanuniversityofcaliforniaatberkeley,1,
10,,fefegrassfields,bone,cwīi,cwīi,cw ī i,,jeanmariehombertlaboratoiredynamiquedulangagelyonandlarryhymanuniversityofcaliforniaatberkeley,1,
11,,fefegrassfields,breast,pɛ̄n,pɛ̄n,p ɛ̄ n,,jeanmariehombertlaboratoiredynamiquedulangagelyonandlarryhymanuniversityofcaliforniaatberkeley,1,
12,,fefegrassfields,burn,tòo,tòo,t ò o,,jeanmariehombertlaboratoiredynamiquedulangagelyonandlarryhymanuniversityofcaliforniaatberkeley,1,
